workoutPlan_id,objective,guidelines,difficulty_level
W1,Muscle Gain,Weekly,Hard
W2,Weight Loss,Daily,Medium
W3,Endurance,Weekly,Medium
W4,Flexibility,Weekly,Easy
W5,Cardio,Daily,Hard
W6,Strength,Weekly,Hard
W7,Core Stability,Daily,Medium
W8,Full Body,Weekly,Medium
W9,Mobility,Daily,Easy
W10,Fat Burning,Daily,Hard
W11,Bodyweight,Weekly,Medium
W12,HIIT,Daily,Hard
W13,Power Training,Weekly,Hard
W14,Running,Daily,Medium
W15,Low Impact,Weekly,Easy
W16,Strength & Endurance,Daily,Medium
W17,Pilates,Weekly,Medium
W18,Resistance Training,Weekly,Hard
W19,Speed Training,Weekly,Medium
W20,Martial Arts,Daily,Hard
W21,Sports Conditioning,Daily,Medium
W22,Strength & Conditioning,Weekly,Hard
W23,CrossFit,Daily,Hard
W24,Dance Fitness,Weekly,Easy
W25,Kettlebell,Daily,Hard
W26,High-Intensity Interval Training (HIIT),Daily,Hard
W27,Functional Training,Weekly,Medium
W28,Aerobics,Daily,Medium
W29,Circuit Training,Weekly,Medium
W30,Weightlifting,Daily,Hard
W31,Plyometrics,Weekly,Hard
W32,Calisthenics,Daily,Hard
W33,Senior Fitness,Weekly,Easy
W34,Stretching,Daily,Easy
W35,Bodybuilding,Weekly,Hard
W36,Mobility,Daily,Easy
W37,Interval Training,Weekly,Medium
W38,Boxing,Daily,Hard
W39,Rehab & Recovery,Weekly,Easy
W40,Posture & Balance,Daily,Medium
W41,Youth Fitness,Weekly,Medium
W42,Meditation & Mindfulness,Daily,Easy
W43,Sports Training,Daily,Medium
W44,Bootcamp,Weekly,Hard
W45,Weight Management,Weekly,Medium
W46,Gymnastics,Daily,Hard
W47,Strength & Mobility,Weekly,Medium
W48,Yoga,Daily,Easy
W49,Aqua Fitness,Weekly,Medium
W50,Aqua Aerobics,Daily,Easy
